customer_id,customer_age,customer_income,home_ownership,employment_duration,loan_intent,loan_grade,loan_amnt,loan_int_rate,term_years,historical_default,cred_hist_length,Current_loan_status
1,22,59000.0,RENT,12,PERSONAL,C,35000.0,16.02,10,Yes,3,DEFAULT
4,23,65500.0,RENT,4,MEDICAL,B,35000.0,15.23,10,No,2,DEFAULT
5,24,54400.0,RENT,8,MEDICAL,B,35000.0,14.27,10,Yes,4,DEFAULT
7,26,77100.0,RENT,8,EDUCATION,A,35000.0,12.42,10,Yes,3,NO DEFAULT
8,24,78956.0,RENT,5,MEDICAL,A,35000.0,11.11,10,Yes,4,NO DEFAULT
9,24,83000.0,RENT,8,PERSONAL,A,35000.0,8.9,10,Yes,2,NO DEFAULT
11,22,85000.0,RENT,6,VENTURE,A,35000.0,10.37,10,Yes,4,NO DEFAULT
13,23,95000.0,RENT,2,VENTURE,A,35000.0,7.9,10,Yes,2,NO DEFAULT
14,26,108160.0,RENT,4,EDUCATION,D,35000.0,18.39,10,No,4,DEFAULT
15,23,115000.0,RENT,2,EDUCATION,A,35000.0,7.9,10,Yes,4,NO DEFAULT
16,23,500000.0,MORTGAGE,7,DEBT CONSOLIDATION,A,30000.0,10.65,10,Yes,3,NO DEFAULT
17,23,120000.0,RENT,4,EDUCATION,A,35000.0,7.9,10,Yes,4,NO DEFAULT
18,23,92111.0,RENT,7,MEDICAL,E,35000.0,20.25,10,No,4,DEFAULT
19,23,113000.0,RENT,8,DEBT CONSOLIDATION,C,35000.0,18.25,10,No,4,DEFAULT
21,25,162500.0,RENT,2,VENTURE,A,35000.0,7.49,10,Yes,4,NO DEFAULT
22,25,137000.0,RENT,9,PERSONAL,D,34800.0,16.77,10,Yes,2,NO DEFAULT
23,22,65000.0,RENT,4,EDUCATION,C,34000.0,17.58,10,No,4,DEFAULT
25,22,80000.0,RENT,3,PERSONAL,C,33950.0,14.54,10,Yes,4,DEFAULT
26,24,67746.0,RENT,8,HOME IMPROVEMENT,B,33000.0,12.68,10,No,3,DEFAULT
29,24,65000.0,RENT,6,HOME IMPROVEMENT,A,32500.0,9.99,10,Yes,3,NO DEFAULT
32,25,120000.0,RENT,2,VENTURE,A,32000.0,6.62,10,Yes,2,NO DEFAULT
33,26,95000.0,RENT,7,HOME IMPROVEMENT,B,31050.0,14.17,10,Yes,3,DEFAULT
34,25,306000.0,RENT,2,DEBT CONSOLIDATION,B,24250.0,13.85,10,Yes,3,NO DEFAULT
35,26,300000.0,MORTGAGE,10,MEDICAL,B,7800.0,13.49,6,Yes,4,NO DEFAULT
38,24,64000.0,RENT,8,DEBT CONSOLIDATION,C,30000.0,14.54,10,Yes,3,DEFAULT
39,25,75000.0,RENT,4,HOME IMPROVEMENT,C,30000.0,16.89,10,Yes,4,DEFAULT
40,23,71500.0,RENT,3,DEBT CONSOLIDATION,C,30000.0,10.99,10,No,4,DEFAULT
41,26,62050.0,RENT,6,MEDICAL,D,30000.0,17.99,10,No,2,DEFAULT
43,26,300000.0,MORTGAGE,10,VENTURE,A,20000.0,7.88,10,Yes,4,NO DEFAULT
44,23,300000.0,OWN,1,EDUCATION,E,24250.0,19.41,10,Yes,2,NO DEFAULT
45,26,300000.0,OWN,9,HOME IMPROVEMENT,A,10000.0,10.38,6,Yes,4,NO DEFAULT
46,26,300000.0,MORTGAGE,4,EDUCATION,C,25000.0,15.33,10,Yes,3,NO DEFAULT
47,25,300000.0,MORTGAGE,9,HOME IMPROVEMENT,D,18000.0,16.45,10,Yes,3,NO DEFAULT
48,26,80690.0,RENT,8,PERSONAL,A,30000.0,7.49,10,Yes,3,NO DEFAULT
49,22,66300.0,RENT,4,MEDICAL,A,30000.0,12.69,10,Yes,3,NO DEFAULT
50,26,89028.0,RENT,4,DEBT CONSOLIDATION,A,30000.0,6.62,10,Yes,3,NO DEFAULT
51,24,78000.0,RENT,4,DEBT CONSOLIDATION,C,30000.0,10.99,10,Yes,4,DEFAULT
52,23,78000.0,RENT,7,DEBT CONSOLIDATION,E,30000.0,18.62,10,Yes,3,DEFAULT
53,23,92004.0,RENT,6,PERSONAL,B,30000.0,15.23,10,Yes,3,DEFAULT
54,23,97000.0,RENT,7,VENTURE,A,30000.0,10.65,10,Yes,2,NO DEFAULT
55,25,120000.0,RENT,9,EDUCATION,A,30000.0,7.9,10,Yes,4,NO DEFAULT
56,26,280000.0,RENT,4,PERSONAL,B,10000.0,15.96,6,Yes,3,NO DEFAULT
57,26,277104.0,RENT,4,VENTURE,A,20000.0,11.48,10,Yes,3,NO DEFAULT
58,23,277000.0,OWN,3,PERSONAL,A,35000.0,10.99,10,Yes,4,NO DEFAULT
59,25,128000.0,RENT,9,PERSONAL,A,30000.0,7.29,10,Yes,4,NO DEFAULT
61,21,131000.0,RENT,4,VENTURE,A,30000.0,5.99,10,Yes,4,NO DEFAULT
62,22,275000.0,OWN,6,VENTURE,A,12000.0,11.58,10,Yes,2,NO DEFAULT
63,26,263000.0,MORTGAGE,4,EDUCATION,A,10000.0,10.99,6,No,4,DEFAULT
64,25,221850.0,MORTGAGE,9,MEDICAL,C,25000.0,15.7,10,No,2,DEFAULT
65,22,70000.0,RENT,6,EDUCATION,C,29100.0,15.99,10,No,3,DEFAULT
67,26,260000.0,OWN,10,HOME IMPROVEMENT,A,28000.0,10.99,10,Yes,3,NO DEFAULT
68,25,259000.0,MORTGAGE,9,HOME IMPROVEMENT,C,20000.0,14.42,10,Yes,2,NO DEFAULT
69,24,255000.0,MORTGAGE,9,EDUCATION,A,9600.0,6.99,4,Yes,2,NO DEFAULT
70,25,250000.0,RENT,2,MEDICAL,B,25000.0,13.49,10,Yes,4,NO DEFAULT
72,22,56950.0,RENT,6,MEDICAL,A,28000.0,10.99,10,Yes,2,NO DEFAULT
74,23,65000.0,RENT,2,EDUCATION,A,28000.0,7.9,10,Yes,2,NO DEFAULT
75,26,85000.0,RENT,2,VENTURE,A,28000.0,7.49,10,Yes,3,NO DEFAULT
77,22,88000.0,RENT,6,VENTURE,A,28000.0,9.91,10,Yes,3,NO DEFAULT
80,24,83004.0,RENT,4,VENTURE,C,28000.0,15.99,10,Yes,4,DEFAULT
81,24,250000.0,RENT,2,EDUCATION,B,18000.0,12.98,10,Yes,3,NO DEFAULT
83,25,100000.0,RENT,5,DEBT CONSOLIDATION,A,28000.0,12.69,10,Yes,3,NO DEFAULT
84,26,110000.0,RENT,10,EDUCATION,A,28000.0,8.9,10,Yes,2,NO DEFAULT
86,22,108000.0,RENT,6,EDUCATION,A,28000.0,10.99,10,Yes,4,NO DEFAULT
87,23,151200.0,RENT,7,DEBT CONSOLIDATION,A,28000.0,11.11,10,Yes,2,NO DEFAULT
88,24,69000.0,RENT,2,HOME IMPROVEMENT,A,27600.0,10.99,10,Yes,2,NO DEFAULT
90,22,70000.0,RENT,4,EDUCATION,B,27500.0,13.06,10,Yes,3,DEFAULT
91,22,240000.0,OWN,6,PERSONAL,A,25000.0,10.99,10,Yes,2,NO DEFAULT
92,26,73200.0,RENT,5,VENTURE,C,27050.0,15.62,10,Yes,2,DEFAULT
93,24,83000.0,RENT,5,PERSONAL,B,27000.0,13.49,10,Yes,2,DEFAULT
94,24,73399.0,RENT,4,VENTURE,C,27000.0,10.99,10,No,3,DEFAULT
95,23,62500.0,RENT,7,MEDICAL,A,26000.0,11.71,10,Yes,2,NO DEFAULT
96,23,120000.0,RENT,1,EDUCATION,A,25600.0,12.69,10,Yes,3,NO DEFAULT
98,22,60000.0,RENT,4,VENTURE,A,25475.0,10.99,10,Yes,3,NO DEFAULT
99,25,234000.0,MORTGAGE,3,MEDICAL,B,20000.0,14.27,10,Yes,4,NO DEFAULT
100,24,234000.0,OWN,8,HOME IMPROVEMENT,A,20000.0,8.88,10,Yes,4,NO DEFAULT
101,26,234000.0,MORTGAGE,10,HOME IMPROVEMENT,A,21600.0,12.18,10,Yes,3,NO DEFAULT
